D5-DD,D7-DD,D7-UU,D7-DU,subject
0.004032,0.021211,0.041735,0.013718,3
0.003358,0.026435,0.04137,0.015517,3
0.002643,0.026876,0.042831,0.019902,3
0.003789,0.027316,0.056164,0.012706,3
0.002697,0.156911,0.028767,0.010851,3
0.003466,0.021589,0.041096,0.017541,3
0.004005,0.02291,0.036986,0.018553,4
0.003897,0.02033,0.04274,0.020577,4
0.003398,0.02033,0.035434,0.015742,4
0.003884,0.017812,0.034977,0.013662,4
0.002697,0.021085,0.040913,0.015461,4
0.011449,0.018064,0.036256,0.020914,4
0.002454,0.020645,0.040731,0.028335,4
0.002697,0.01863,0.034429,0.019565,4
0.003021,0.016805,0.043196,0.026143,4
0.002738,0.0197,0.041735,0.024512,4
0.010047,0.019889,0.040548,0.015967,4
0.002899,0.018316,0.035434,0.015517,4
0.004828,0.019197,0.035708,0.019452,4
0.003668,0.02184,0.036073,0.01889,4
0.004342,0.018693,0.034612,0.017091,4
0.00329,0.01756,0.037352,0.018609,4
0.002535,0.016868,0.031507,0.016585,4
0.002212,0.02184,0.040913,0.035194,4
0.002239,0.019197,0.036712,0.025468,4
0.008846,0.019134,0.035982,0.028054,4
0.002818,0.017246,0.033607,0.013605,4
0.013081,0.017875,0.035616,0.020633,4
0.003722,0.019763,0.032785,0.016585,4
0.010937,0.019952,0.04,0.020296,4
0.002872,0.019952,0.03242,0.020352,4
0.002387,0.017183,0.02968,0.02232,4
0.002158,0.020456,0.065479,0.025187,4
0.002131,0.021337,0.032055,0.016754,4
0.002427,0.017686,0.037991,0.025524,4
0.008442,0.020078,0.034155,0.014786,4
0.001726,0.018882,0.050046,0.01934,4
0.002764,0.017812,0.032603,0.030472,4
0.002454,0.019449,0.034795,0.023557,4
0.002158,0.019826,0.040457,0.02232,4
0.002252,0.019575,0.032968,0.038567,4
0.002832,0.020959,0.037717,0.023444,4
0.002522,0.016553,0.033425,0.022938,4
0.002023,0.01498,0.030228,0.01979,4
0.00205,0.018001,0.034703,0.018047,4
0.003695,0.024736,0.04411,0.020015,4
0.002481,0.0197,0.031598,0.019958,4
0.002198,0.017246,0.033607,0.189071,4
0.002292,0.02077,0.030502,0.017541,4
0.002441,0.019449,0.030776,0.013043,4
0.002009,0.017246,0.029954,0.015292,4
0.002266,0.021903,0.040091,0.022263,4
0.002158,0.020456,0.042374,0.024231,4
0.002589,0.017938,0.032511,0.018553,4
0.00263,0.017309,0.048676,0.012425,4
0.002131,0.015483,0.031598,0.016416,4
0.00089,0.008875,0.018904,0.00669,5
0.001173,0.01649,0.048128,0.00759,5
0.001713,0.004532,0.015434,0.010457,5
0.001133,0.000818,0.003927,0.009389,5
0.001011,0.00214,0.007854,0.008489,5
0.00085,0.009315,0.012511,0.01175,5
0.001241,0.006231,0.007763,0.045539,5
0.000607,0.006672,0.00895,0.006128,5
0.000418,0.004721,0.014886,0.016585,5
0.000796,0.003462,0.005936,0.00804,5
0.00116,0.00214,0.00968,0.007365,5
0.000715,0.004343,0.006667,0.004273,5
0.000742,0.004028,0.0021,0.005341,5
0.000944,0.004972,0.004018,0.00551,5
0.001038,0.005476,0.003014,0.00506,5
0.00116,0.003273,0.00411,0.003823,5
0.00085,0.007301,0.006027,0.007365,5
0.000715,0.002706,0.005753,0.002305,5
0.000405,0.006105,0.004384,0.003654,5
0.001888,0.002895,0.004932,0.042784,5
0.000904,0.002769,0.00411,0.042503,5
0.000674,0.001448,0.008311,0.007871,5
0.000593,0.002518,0.005662,0.007646,5
0.000715,0.012273,0.005388,0.007477,5
0.001241,0.002769,0.008128,0.005791,5
0.001632,0.003839,0.005388,0.006578,5
0.000391,0.004721,0.005845,0.008489,5
0.001416,0.00214,0.00621,0.026761,5
0.000674,0.039653,0.007854,0.013324,5
0.000432,0.003336,0.016712,0.014786,5
0.000742,0.004972,0.004749,0.006747,5
0.000863,0.00214,0.003196,0.006803,5
0.000256,0.004972,0.004201,0.00967,5
0.000472,0.001574,0.004932,0.007702,5
0.000715,0.032226,0.012968,0.008377,5
0.000728,0.006105,0.010685,0.01473,5
0.0012,0.006861,0.029132,0.023725,5
0.00116,0.014476,0.011872,0.01726,5
0.000944,0.003902,0.013881,0.01057,5
0.000701,0.014665,0.020457,0.00461,5
0.000539,0.005979,0.018082,0.009558,5
0.000755,0.013973,0.019452,0.029235,5
0.000432,0.010133,0.011598,0.007196,5
0.000728,0.006231,0.007123,0.006915,5
0.000593,0.009756,0.013516,0.010064,5
0.001025,0.006357,0.00484,0.009333,5
0.000715,0.004595,0.007215,0.019228,5
0.000998,0.004783,0.003653,0.010064,5
0.000971,0.005916,0.006941,0.014168,5
0.00085,0.003965,0.011416,0.006971,5
0.030045,0.032226,0.055434,0.020183,6
0.014254,0.032729,0.052146,0.019509,6
0.015157,0.026939,0.047489,0.038286,6
0.01629,0.031281,0.050411,0.022095,6
0.010465,0.057024,0.052146,0.016866,6
0.011355,0.045254,0.057078,0.033676,6
0.010087,0.024484,0.066027,0.018328,6
0.017949,0.025491,0.05105,0.01591,6
0.016762,0.024169,0.038174,0.025862,6
0.005934,0.026435,0.04137,0.018609,6
0.005057,0.028953,0.048402,0.019902,6
0.025878,0.024547,0.049224,0.016473,6
0.009143,0.029079,0.056438,0.014111,6
0.005515,0.023792,0.0579,0.022545,6
0.012015,0.034491,0.053059,0.017822,6
0.034199,0.056332,0.050228,0.016023,6
0.012326,0.023099,0.051416,0.022207,6
0.009912,0.040282,0.082922,0.021195,6
0.005394,0.026057,0.055616,0.012031,6
0.008401,0.024736,0.049406,0.014899,6
0.006406,0.026372,0.091689,0.016473,6
0.00766,0.028009,0.061096,0.022994,6
0.010667,0.028638,0.063196,0.020745,6
0.007039,0.050667,0.061553,0.021027,6
0.009602,0.031533,0.045753,0.037724,6
0.00855,0.030274,0.049406,0.018384,6
0.010478,0.023854,0.048311,0.02395,6
0.014429,0.035436,0.058447,0.020183,6
0.005799,0.029141,0.050594,0.024625,6
0.00913,0.024924,0.049954,0.018834,6
0.015454,0.023225,0.040183,0.014168,6
0.005704,0.023351,0.041826,0.020633,6
0.005111,0.02505,0.044749,0.02024,6
0.004491,0.030274,0.054977,0.012762,6
0.005785,0.025806,0.051872,0.015517,6
0.004423,0.041037,0.042283,0.014055,6
0.00472,0.023099,0.053333,0.022207,6
0.004585,0.029645,0.073699,0.016866,6
0.004652,0.027631,0.064475,0.023107,6
0.004949,0.054066,0.055251,0.029235,6
0.008239,0.026687,0.064201,0.014505,6
0.006082,0.027127,0.0621,0.027492,6
0.004113,0.024673,0.056073,0.01473,6
0.00441,0.025869,0.049041,0.016248,6
0.007174,0.027568,0.065936,0.017878,6
0.012299,0.02719,0.108402,0.016698,6
0.006513,0.030023,0.048219,0.016473,6
0.013715,0.107691,0.050228,0.015686,6
0.004315,0.056584,0.098356,0.024512,6
0.015994,0.046513,0.048311,0.01636,6
0.006716,0.071186,0.099452,0.064766,7
0.010303,0.051297,0.205479,0.071513,7
0.014524,0.05287,0.138082,0.060662,7
0.013688,0.064262,0.041187,0.0601,7
0.007929,0.037009,0.050959,0.066397,7
0.01002,0.039275,0.048584,0.059425,7
0.0065,0.032981,0.04968,0.04582,7
0.011948,0.038708,0.047397,0.114353,7
0.013296,0.030715,0.049406,0.062461,7
0.00797,0.030841,0.045297,0.056952,7
0.006567,0.042988,0.061918,0.063305,7
0.007093,0.03852,0.062374,0.067071,7
0.012932,0.032414,0.052146,0.049755,7
0.014591,0.04645,0.14411,0.066284,7
0.005947,0.063822,0.047854,0.053241,7
0.006972,0.04601,0.081735,0.060775,7
0.005934,0.032792,0.051781,0.062799,7
0.01447,0.092711,0.125845,0.060381,7
0.008671,0.036506,0.070137,0.061337,7
0.017221,0.031722,0.048767,0.042391,7
0.013323,0.032477,0.05516,0.077922,7
0.009655,0.068857,0.093607,0.064204,7
0.007983,0.03147,0.072877,0.067184,7
0.008954,0.045947,0.054886,0.066397,7
0.007444,0.045128,0.123836,0.069939,7
0.008873,0.050164,0.179269,0.057177,7
0.017598,0.075906,0.048037,0.052398,7
0.014807,0.05287,0.054247,0.046944,7
0.009696,0.04003,0.076164,0.0723,7
0.013027,0.036883,0.063562,0.042896,7
0.010006,0.026372,0.074429,0.065497,7
0.006271,0.028323,0.087671,0.051948,7
0.008186,0.038708,0.100548,0.058807,7
0.005475,0.025743,0.051324,0.052904,7
0.010033,0.067724,0.048676,0.055378,7
0.011247,0.026561,0.050594,0.065441,7
0.006001,0.033988,0.066941,0.069658,7
0.010505,0.034617,0.048676,0.058976,7
0.006689,0.026246,0.070046,0.064542,7
